bucket,demand,demand_share,market_type
<50,0.0,0.0,AL
51-150,0.004311862798751126,0.49319100784567643,AL
151-300,0.0039552754845977025,0.45240453919847207,AL
301-600,0.0004756464190444952,0.05440445295585144,AL
601-1000,0.0,0.0,AL
1001-1400,0.0,0.0,AL
1401-1800,0.0,0.0,AL
>1800,0.0,0.0,AL
<50,0.0,0.0,AR
51-150,0.0,0.0,AR
151-300,0.0,0.0,AR
301-600,0.006020185403783341,0.9,AR
601-1000,0.0006689094893092602,0.1,AR
1001-1400,0.0,0.0,AR
1401-1800,0.0,0.0,AR
>1800,0.0,0.0,AR
<50,0.0,0.0,AZ
51-150,0.0,0.0,AZ
151-300,0.0031843307053953515,0.10190342981736777,AZ
301-600,0.02806418282454507,0.8980965701826322,AZ
601-1000,0.0,0.0,AZ
1001-1400,0.0,0.0,AZ
1401-1800,0.0,0.0,AZ
>1800,0.0,0.0,AZ
<50,0.0,0.0,CA
51-150,0.0,0.0,CA
151-300,0.0,0.0,CA
301-600,0.09409876200100933,0.7949681468012673,CA
601-1000,0.02405811619520037,0.20324854058146746,CA
1001-1400,0.00021108708596772276,0.0017833126172652558,CA
1401-1800,0.0,0.0,CA
>1800,0.0,0.0,CA
<50,0.0,0.0,CO
51-150,0.0,0.0,CO
151-300,0.0014987380203881962,0.030586718570773375,CO
301-600,0.04745633550903159,0.9685038738384572,CO
601-1000,4.456063925792319e-05,0.000909407590769482,CO
1001-1400,0.0,0.0,CO
1401-1800,0.0,0.0,CO
>1800,0.0,0.0,CO
<50,0.0,0.0,CT
51-150,0.002349195069640857,0.18946862007363588,CT
151-300,0.010049665853755618,0.810531379926364,CT
301-600,0.0,0.0,CT
601-1000,0.0,0.0,CT
1001-1400,0.0,0.0,CT
1401-1800,0.0,0.0,CT
>1800,0.0,0.0,CT
<50,0.0,0.0,DC
51-150,0.0,0.0,DC
151-300,0.0,0.0,DC
301-600,0.0027948004622192074,1.0,DC
601-1000,0.0,0.0,DC
1001-1400,0.0,0.0,DC
1401-1800,0.0,0.0,DC
>1800,0.0,0.0,DC
<50,0.0,0.0,DE
51-150,0.0,0.0,DE
151-300,0.00410257861437176,1.0,DE
301-600,0.0,0.0,DE
601-1000,0.0,0.0,DE
1001-1400,0.0,0.0,DE
1401-1800,0.0,0.0,DE
>1800,0.0,0.0,DE
<50,0.0,0.0,FL
51-150,0.0,0.0,FL
151-300,0.009334695223866494,0.1359110216687434,FL
301-600,0.051528071396230904,0.7502369022371689,FL
601-1000,0.007037670500187711,0.10246686848467887,FL
1001-1400,0.0007819633889097457,0.011385207609408764,FL
1401-1800,0.0,0.0,FL
>1800,0.0,0.0,FL
<50,0.01896879471150814,0.6766082287281464,GA
51-150,0.004518142980483966,0.16116009296632383,GA
151-300,0.004548185006950992,0.16223167830552973,GA
301-600,0.0,0.0,GA
601-1000,0.0,0.0,GA
1001-1400,0.0,0.0,GA
